character_id,name_kr,character_name,confirmed,best_score,best_title,best_path,best_url,reason_flags,best_desc
648,왕량,wang_ryang_648,NO,-1,비정상적인 트래픽 감지,/w/왕량,https://namu.wiki/w/%EC%99%95%EB%9F%89,"title_mismatch,path_match",
649,왕상,wang_sang_649,NO,-1,비정상적인 트래픽 감지,/w/왕상,https://namu.wiki/w/%EC%99%95%EC%83%81,"title_mismatch,path_match",
663,원희,won_hui_663,NO,-1,비정상적인 트래픽 감지,/w/원희,https://namu.wiki/w/%EC%9B%90%ED%9D%AC,"title_mismatch,path_match",
666,원매,won_mae_666,NO,-1,비정상적인 트래픽 감지,/w/원매,https://namu.wiki/w/%EC%9B%90%EB%A7%A4,"title_mismatch,path_match",
667,원항,won_hang_667,NO,-1,비정상적인 트래픽 감지,/w/원항,https://namu.wiki/w/%EC%9B%90%ED%95%AD,"title_mismatch,path_match",
668,원유,won_yu_668,NO,-1,비정상적인 트래픽 감지,/w/원유,https://namu.wiki/w/%EC%9B%90%EC%9C%A0,"title_mismatch,path_match",
679,관구의,gwan_guui_679,NO,-1,비정상적인 트래픽 감지,/w/관구의,https://namu.wiki/w/%EA%B4%80%EA%B5%AC%EC%9D%98,"title_mismatch,path_match",
691,교공,gyo_gong_691,NO,-1,비정상적인 트래픽 감지,/w/교공,https://namu.wiki/w/%EA%B5%90%EA%B3%B5,"title_mismatch,path_match",
697,봉선,bong_seon_697,NO,-1,비정상적인 트래픽 감지,/w/봉선,https://namu.wiki/w/%EB%B4%89%EC%84%A0,"title_mismatch,path_match",
699,축융부인,chuk_yungbuin_699,NO,-1,비정상적인 트래픽 감지,/w/축융부인,https://namu.wiki/w/%EC%B6%95%EC%9C%B5%EB%B6%80%EC%9D%B8,"title_mismatch,path_match",
700,동백,dong_baek_700,NO,-1,비정상적인 트래픽 감지,/w/동백,https://namu.wiki/w/%EB%8F%99%EB%B0%B1,"title_mismatch,path_match",
701,동귀,dong_gwi_701,NO,-1,비정상적인 트래픽 감지,/w/동귀,https://namu.wiki/w/%EB%8F%99%EA%B7%80,"title_mismatch,path_match",
703,오반,o_ban_703,NO,-1,비정상적인 트래픽 감지,/w/오반,https://namu.wiki/w/%EC%98%A4%EB%B0%98,"title_mismatch,path_match",
704,오란,o_ran_704,NO,-1,비정상적인 트래픽 감지,/w/오란,https://namu.wiki/w/%EC%98%A4%EB%9E%80,"title_mismatch,path_match",
709,정문,jeong_mun_709,NO,-1,비정상적인 트래픽 감지,/w/정문,https://namu.wiki/w/%EC%A0%95%EB%AC%B8,"title_mismatch,path_match",
